id,unit_type,no_of_room,no_of_bed,no_of_bath,host_id,host_name,neighbourhood_group,neighbourhood,city,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,number_of_reviews_ltm,rating,license,is_new,calendar.count_demand,calendar.min_night,calendar.max_night
13188,Rental unit , Studio , 2 beds , 1 bath,51466,Ian And Emma,,Riley Park,Vancouver ,49.24773,-123.10509,Entire home/apt,150,2,283,11/28/2023,1.68,1,30,4.84,License,N,101,2,1125
13221,Rental unit , 1 bedroom , 2 beds , 1 bath,51634,Amanda,,Riley Park,Vancouver ,49.25489,-123.09708,Entire home/apt,120,31,15,12/19/2017,0.15,1,0,4.73,Unlicense,N,2,31,730
13358,Condo , 1 bedroom , 1 bed , 1 bath,52116,Lynn,,Downtown,Vancouver ,49.28117371,-123.1259308,Entire home/apt,165,1,493,12/11/2023,3,1,55,4.68,License,N,220,1,1125
13490,Rental unit , 1 bedroom , 1 bed , 1 bath,52467,Iris,,Kensington-Cedar Cottage,Vancouver ,49.25622,-123.06607,Entire home/apt,150,30,101,11/16/2023,0.66,1,5,4.93,Unlicense,N,273,30,180
14267,Home , 1 bedroom , 2 beds , 1 bath,56030,Peter & Alison,,Kensington-Cedar Cottage,Vancouver ,49.24922,-123.08139,Entire home/apt,150,3,33,7/14/2021,0.21,1,0,4.76,License,N,348,3,1125
16254,Guest suite , 2 bedrooms , 3 beds , 1 bath,63238,Jason,,Hastings-Sunrise,Vancouver ,49.27721,-123.04086,Entire home/apt,800,5,7,7/30/2022,0.11,1,0,4.57,Unlicense,N,365,5,1125
16611,Home , 3 bedrooms , 4 beds , 1 bath,58512,Q,,Grandview-Woodland,Vancouver ,49.26339,-123.07145,Entire home/apt,100,365,3,2/16/2018,0.04,5,0,4,Unlicense,N,276,365,365
17765,Rental unit , 1 bedroom , 1 bed , 1 bath,68672,James,,Mount Pleasant,Vancouver ,49.26132,-123.10845,Entire home/apt,0,5,203,10/1/2021,1.49,1,0,4.6,License,N,365,5,60
18024,Home , 3 bedrooms , 3 beds , 1 private bath,69472,Raine,,Kensington-Cedar Cottage,Vancouver ,49.24781,-123.07241,Private room,0,30,0,null,0,1,0,0,Unlicense,null,365,30,365
18270,Condo , 1 bedroom , 1 bed , 1 shared bath,70437,Ran,,Mount Pleasant,Vancouver ,49.26557,-123.096,Private room,51,30,118,12/31/2019,0.76,1,0,4.54,Unlicense,N,131,30,1125
