id,no_of_bed,no_of_bath,neighbourhoodID,room_type_ID,price,number_of_reviews,rating,licenseID,calendar.count_demand
13188,2,1,16,1,150,283,4.84,2,101
13221,2,1,16,1,120,15,4.73,4,2
13358,1,1,2,1,165,493,4.68,2,220
13490,1,1,8,1,150,101,4.93,4,273
14267,2,1,8,1,150,33,4.76,2,348
16254,3,1,7,1,800,7,4.57,4,365
16611,4,1,6,1,100,3,4,4,276
18270,1,1,13,2,51,118,4.54,4,131
18589,1,1,6,2,99,514,4.98,2,232
18795,1,1,22,2,75,131,4.56,2,26
19621,2,2,2,1,250,2,0,4,235
20085,2,1,8,1,99,78,4.8,4,8
21912,1,1,15,2,70,398,4.72,2,228
21913,1,1,15,1,72,233,4.75,2,230
24273,3,1,11,1,150,17,5,2,123
26047,2,1,2,1,169,44,4.75,4,268
33150,2,1,16,1,125,129,4.97,2,66
35304,1,1,6,1,99,586,4.76,2,86
42645,2,1,2,1,169,33,4.79,4,214
70453,2,1.5,3,1,391,37,4.95,2,361
73841,1,1,2,1,139,23,4.74,4,280
77157,3,1,1,1,125,771,4.82,2,75
125176,2,1,16,2,90,662,4.67,2,358
134688,1,1,15,2,90,44,4.6,4,96
140698,2,1,13,2,125,164,4.86,4,298
182451,1,1,11,1,131,58,4.88,2,236
219261,2,1,11,1,123,256,4.6,2,51
248014,2,1,6,1,100,1,0,4,147
254657,1,1,3,1,298,95,4.93,2,331
256178,4,1,11,1,145,24,5,2,365
257163,2,1.5,8,2,65,42,4.88,2,293
311354,3,2,6,1,100,6,4,2,276
322824,1,1,2,1,145,156,4.89,4,270
323090,1,1,2,1,168,72,4.77,4,365
359942,1,1,2,2,255,46,4.86,2,1
415700,1,1,15,2,71,259,4.75,2,233
436032,2,1,3,1,285,154,4.83,2,38
448104,1,1,2,1,158,269,4.88,2,274
461370,1,1,10,2,153,51,4.67,2,0
461386,1,1,10,2,153,44,4.45,2,2
464172,2,1,7,1,108,14,4.86,2,211
475296,1,1.5,3,1,1000,226,4.85,2,11
496298,3,1,2,1,127,165,4.92,4,236
498112,4,2,8,1,475,36,4.71,2,274
507767,1,1,2,1,260,4,5,4,49
540348,3,1,8,1,486,92,4.92,2,18
557357,1,1,6,1,90,194,4.89,2,279
622217,3,2,2,1,575,61,4.97,2,10
625396,2,1,11,1,310,190,4.77,2,257
648026,1,1,6,1,88,66,4.88,2,316
654744,3,2,22,1,150,75,4.74,2,199
654763,1,1,8,1,52,22,4.73,4,364
659986,1,1,18,2,100,27,4.33,2,365
